field1,Game_id,Person_id,Team_id,First_Name,Last_Name,minutes,Field_Goals,Field_Goals_Attempted,Field_Goal_Percentage,Three_Pointers,Three_Pointers_Attempted,Three_Point_Percentage,Free_Throws,Free_Throws_Attempted,Free_Throw_Percentage,Offensive_Rebounds,Defensive_Rebounds,Assists,Personal_Fouls,Steals,Turnovers,Blocked_Shots,Points,location,outcome,season_id,vs_team_id,league_id,Technical_Fouls,Flagrant_Fouls,Ejections,Points_In_Paint,Fast_Break_Points,Triple_Doubles,Double_Doubles,actual_minutes,actual_seconds,Plus_Minus,Blocks_Against,PTS_OFF_TO,Second_Chance_PTS,Total_Rebounds,points_per_36,rebounds_per_36,assists_per_36,steals_per_36,blocks_per_36,br_url,,col_games,col_minutes,intl_games,intl_minutes,intl_group
7919,20300392,2446,1610612748,Rasual,Butler,12,4,6,0.667,1,1,1,0,0,0,0,2,1,0,0,0,0,9,H,W,2003,1610612764,0,0,0,0,4,0,0,0,12,0,6,0,0,3,2,27,6,3,0,0,rasual-butler-1,,110,4213,,,
7940,20300393,2412,1610612738,Jiri,Welsch,38,3,7,0.429,0,2,0,4,5,0.8,0,1,4,1,2,2,0,10,A,L,2003,1610612737,0,0,0,0,4,5,0,0,38,0,-2,0,4,0,1,9.473684211,0.947368421,3.789473684,1.894736842,0,jiri-welsch-1,,,,35,876,2
7958,20300394,2246,1610612765,Mehmet,Okur,25,5,10,0.5,0,0,0,2,2,1,5,7,0,2,0,1,0,12,A,L,2003,1610612749,0,0,0,0,6,0,0,1,25,0,-1,1,0,2,12,17.28,17.28,0,0,1.44,mehmet-okur-1,,,,,,
7959,20300394,2419,1610612765,Tayshaun,Prince,39,4,10,0.4,0,1,0,0,0,0,1,1,2,0,1,1,0,8,A,L,2003,1610612749,0,0,0,0,4,2,0,0,39,0,-7,1,0,0,2,7.384615385,1.846153846,1.846153846,0.923076923,0.923076923,tayshaun-prince-1,,135,4023,,,
7960,20300394,2429,1610612749,Dan,Gadzuric,12,0,1,0,0,0,0,0,2,0,0,3,0,4,0,0,0,0,H,W,2003,1610612765,0,0,0,0,0,0,0,0,12,0,1,0,0,0,3,0,9,0,0,0,dan-gadzuric-1,,122,2940,,,
7980,20300395,2397,1610612745,Ming,Yao,33,3,4,0.75,0,0,0,6,9,0.667,2,6,0,4,0,2,1,12,H,L,2003,1610612754,0,0,0,0,4,0,0,0,33,0,-8,0,2,0,8,13.09090909,8.727272727,0,0,0,ming-yao-1,,,,,,
7981,20300395,2410,1610612754,Fred,Jones,8,0,2,0,0,1,0,0,2,0,0,1,2,0,0,0,0,0,A,W,2003,1610612745,0,0,0,0,0,0,0,0,8,0,-4,0,0,0,1,0,4.5,9,0,0,fred-jones-1,,125,3525,,,
7994,20300396,1938,1610612759,Manu,Ginobili,31,6,10,0.6,3,5,0.6,1,2,0.5,2,1,5,1,3,0,0,16,H,W,2003,1610612746,0,0,0,0,6,1,0,0,31,0,5,0,3,3,3,18.58064516,3.483870968,5.806451613,3.483870968,0,manu-ginobili-1,,,,144,4341,4
7998,20300396,2060,1610612746,Marko,Jaric,24,1,3,0.333,0,0,0,0,0,0,0,2,2,2,1,2,0,2,A,L,2003,1610612759,0,0,0,0,2,2,0,0,24,0,-14,0,2,0,2,3,3,3,1.5,0,marko-jaric-1,,,,160,4395,4
8003,20300396,2404,1610612746,Chris,Wilcox,28,6,10,0.6,0,0,0,2,2,1,2,3,1,1,0,1,0,14,A,L,2003,1610612759,0,0,0,0,10,2,0,0,28,0,-5,1,0,2,5,18,6.428571429,1.285714286,0,1.285714286,chris-wilcox-1,,70,1162,,,
8004,20300396,2484,1610612759,Devin,Brown,7,1,3,0.333,0,0,0,0,0,0,0,1,2,1,0,0,0,2,H,W,2003,1610612746,0,0,0,0,0,0,0,0,7,0,4,1,0,0,1,10.28571429,5.142857143,10.28571429,0,5.142857143,devin-brown-1,,105,3360,,,
8041,20300398,2417,1610612757,Qyntel,Woods,19,3,4,0.75,0,0,0,2,2,1,1,4,2,2,0,4,0,8,H,W,2003,1610612742,0,0,0,0,4,0,0,0,19,0,4,1,0,0,5,15.15789474,9.473684211,3.789473684,0,1.894736842,qyntel-woods-1,,,,,,
8056,20300399,2418,1610612756,Casey,Jacobsen,25,4,7,0.571,1,2,0.5,1,2,0.5,1,3,0,2,1,1,0,10,A,L,2003,1610612760,0,0,0,0,4,0,0,0,25,0,-7,2,3,0,4,14.4,5.76,0,1.44,2.88,casey-jacobsen-1,,95,3021,,,
8057,20300399,2436,1610612760,Ronald,Murray,28,8,13,0.615,0,2,0,1,1,1,1,1,0,1,4,1,0,17,H,W,2003,1610612756,0,0,0,0,6,2,0,0,27,46,5,0,6,2,2,21.85714286,2.571428571,0,5.142857143,0,ronald-murray-1,,,,,,
8058,20300399,2456,1610612756,Cezary,Trybanski,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,L,2003,1610612760,0,0,0,0,0,0,0,0,2,43,-1,,0,0,0,0,0,0,0,0,cezary-trybanski-1,,,,,,
8079,20300400,2399,1610612744,Mike,Dunleavy,20,2,5,0.4,0,1,0,2,2,1,1,1,2,2,1,2,0,6,H,W,2003,1610612747,0,0,0,0,2,2,0,0,20,0,-1,0,2,0,2,10.8,3.6,3.6,1.8,0,mike-dunleavy-1,,111,3762,,,
8080,20300400,2416,1610612747,Kareem,Rush,16,3,8,0.375,0,2,0,1,2,0.5,0,0,1,3,0,2,0,7,A,L,2003,1610612744,0,0,0,0,2,2,0,0,16,0,-11,0,4,0,0,15.75,0,2.25,0,0,kareem-rush-1,,84,2536,,,
8091,20300401,1921,1610612753,Gordan,Giricek,27,4,7,0.571,1,1,1,0,0,0,0,2,0,0,1,1,0,9,H,W,2003,1610612739,0,0,0,0,4,2,0,0,27,0,4,0,2,0,2,12,2.666666667,0,1.333333333,0,gordan-giricek-1,,,,,,
8094,20300401,2400,1610612753,Drew,Gooden,42,6,19,0.316,0,0,0,0,1,0,6,4,1,1,1,0,2,12,H,W,2003,1610612739,0,0,0,0,6,0,0,1,42,0,11,2,0,2,10,10.28571429,8.571428571,0.857142857,0.857142857,1.714285714,drew-gooden-1,,98,2567,,,
8095,20300401,2430,1610612739,Carlos,Boozer,42,8,10,0.8,0,0,0,2,2,1,4,15,0,3,0,4,0,18,A,L,2003,1610612753,0,0,0,0,10,0,0,1,42,0,-4,0,0,6,19,15.42857143,16.28571429,0,0,0,carlos-boozer-1,,101,2615,,,
8136,20300403,2397,1610612745,Ming,Yao,30,8,14,0.571,0,0,0,2,2,1,5,3,2,5,0,3,2,18,A,W,2003,1610612747,0,0,0,0,10,0,0,0,30,0,8,1,2,6,8,21.6,9.6,2.4,0,1.2,ming-yao-1,,,,,,
8137,20300403,2416,1610612747,Kareem,Rush,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,L,2003,1610612745,0,0,0,0,0,0,0,0,3,0,-3,0,0,0,0,0,0,0,0,0,kareem-rush-1,,84,2536,,,
8150,20300404,2406,1610612748,Caron,Butler,27,0,5,0,0,0,0,1,2,0.5,0,5,1,0,0,0,1,1,A,W,2003,1610612764,0,0,0,0,0,0,0,0,27,0,-1,0,1,0,5,1.333333333,6.666666667,1.333333333,0,0,caron-butler-1,,63,2173,,,
8151,20300404,2407,1610612764,Jared,Jeffries,25,1,3,0.333,0,2,0,0,0,0,0,1,0,3,0,2,0,2,H,L,2003,1610612748,0,0,0,0,0,0,0,0,25,0,-16,0,0,2,1,2.88,1.44,0,0,0,jared-jeffries-1,,70,2282,,,
8152,20300404,2413,1610612764,Juan,Dixon,7,0,3,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,H,L,2003,1610612748,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5.142857143,5.142857143,0,juan-dixon-1,,141,4004,,,
8153,20300404,2446,1610612748,Rasual,Butler,21,4,5,0.8,2,2,1,0,0,0,0,3,0,2,2,1,0,10,A,W,2003,1610612764,0,0,0,0,2,0,0,0,21,0,9,0,2,0,3,17.14285714,5.142857143,0,3.428571429,0,rasual-butler-1,,110,4213,,,
8173,20300405,2430,1610612739,Carlos,Boozer,31,5,9,0.556,0,0,0,0,0,0,5,9,4,2,1,2,0,10,H,L,2003,1610612741,0,0,0,0,8,2,0,1,31,0,-5,1,2,4,14,11.61290323,16.25806452,4.64516129,1.161290323,1.161290323,carlos-boozer-1,,101,2615,,,
8196,20300406,2424,1610612737,Dan,Dickau,17,3,7,0.429,0,1,0,0,0,0,1,4,3,1,2,4,0,6,A,L,2003,1610612740,0,0,0,0,2,0,0,0,17,0,1,1,4,0,5,12.70588235,10.58823529,6.352941176,4.235294118,2.117647059,dan-dickau-1,,97,3113,,,
8217,20300407,2246,1610612765,Mehmet,Okur,24,1,5,0.2,0,0,0,0,0,0,3,8,0,1,0,1,3,2,H,L,2003,1610612751,0,0,0,0,2,0,0,0,24,1,-4,1,0,0,11,3,16.5,0,0,1.5,mehmet-okur-1,,,,,,
8218,20300407,2419,1610612765,Tayshaun,Prince,39,4,13,0.308,1,4,0.25,1,2,0.5,0,4,3,2,1,1,2,10,H,L,2003,1610612751,0,0,0,0,2,2,0,0,38,57,-1,0,0,2,4,9.230769231,3.692307692,2.769230769,0.923076923,0,tayshaun-prince-1,,135,4023,,,
8238,20300408,2421,1610612752,Frank,Williams,25,8,15,0.533,0,2,0,2,2,1,0,3,6,5,0,5,0,18,A,W,2003,1610612763,0,0,0,0,16,6,0,0,25,0,15,0,4,0,3,25.92,4.32,8.64,0,0,frank-williams-1,,101,3201,,,
8256,20300409,2410,1610612754,Fred,Jones,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,A,L,2003,1610612749,0,0,0,0,0,0,0,0,1,0,-4,0,0,0,0,0,0,0,0,0,fred-jones-1,,125,3525,,,
8257,20300409,2429,1610612749,Dan,Gadzuric,4,0,2,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,H,W,2003,1610612754,0,0,0,0,0,0,0,0,4,0,-4,0,0,0,1,0,9,0,0,0,dan-gadzuric-1,,122,2940,,,
8272,20300410,1921,1610612753,Gordan,Giricek,31,4,9,0.444,2,4,0.5,0,0,0,2,3,1,0,0,2,1,10,A,L,2003,1610612759,0,0,0,0,4,2,0,0,31,0,-5,1,2,3,5,11.61290323,5.806451613,1.161290323,0,1.161290323,gordan-giricek-1,,,,,,
8273,20300410,1938,1610612759,Manu,Ginobili,38,4,13,0.308,1,5,0.2,2,4,0.5,2,7,7,2,1,2,0,11,H,W,2003,1610612753,0,0,0,0,2,2,0,0,38,0,-1,1,0,3,9,10.42105263,8.526315789,6.631578947,0.947368421,0.947368421,manu-ginobili-1,,,,144,4341,4
8278,20300410,2400,1610612753,Drew,Gooden,27,4,10,0.4,0,0,0,0,0,0,0,4,2,2,0,1,0,8,A,L,2003,1610612759,0,0,0,0,2,2,0,0,27,0,-31,3,0,0,4,10.66666667,5.333333333,2.666666667,0,4,drew-gooden-1,,98,2567,,,
8297,20300411,2397,1610612745,Ming,Yao,32,6,12,0.5,0,0,0,0,0,0,4,6,3,2,0,5,2,12,A,L,2003,1610612743,0,0,0,0,10,0,0,1,32,0,6,2,0,2,10,13.5,11.25,3.375,0,2.25,ming-yao-1,,,,,,
8298,20300411,2403,1610612743,Nene,Hilario,32,1,7,0.143,0,0,0,0,0,0,7,2,5,1,1,0,0,2,H,W,2003,1610612745,0,0,0,0,2,0,0,0,32,0,-11,2,0,2,9,2.25,10.125,5.625,1.125,2.25,nene-hilario-1,,,,,,
8315,20300412,2437,1610612761,Lonny,Baxter,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,A,L,2003,1610612762,0,0,0,0,0,0,0,0,3,0,-1,0,0,0,1,0,12,0,0,0,lonny-baxter-1,,138,3367,,,
8333,20300413,2412,1610612738,Jiri,Welsch,32,2,8,0.25,0,2,0,1,2,0.5,0,3,1,3,1,2,0,5,A,W,2003,1610612756,0,0,0,0,0,0,0,0,32,0,-14,0,0,0,3,5.625,3.375,1.125,1.125,0,jiri-welsch-1,,,,35,876,2
8334,20300413,2418,1610612756,Casey,Jacobsen,28,3,7,0.429,2,4,0.5,4,6,0.667,2,5,1,4,0,1,1,12,H,L,2003,1610612738,0,0,0,0,2,0,0,0,28,0,-12,0,5,7,7,15.42857143,9,1.285714286,0,0,casey-jacobsen-1,,95,3021,,,
8350,20300414,2060,1610612746,Marko,Jaric,34,5,13,0.385,0,3,0,1,1,1,2,3,7,1,2,4,1,11,H,W,2003,1610612755,0,0,0,0,8,2,0,0,34,0,3,0,2,3,5,11.64705882,5.294117647,7.411764706,2.117647059,0,marko-jaric-1,,,,160,4395,4
8353,20300414,2404,1610612746,Chris,Wilcox,33,5,9,0.556,0,0,0,4,7,0.571,2,4,2,4,2,2,1,14,H,W,2003,1610612755,0,0,0,0,10,0,0,0,33,0,5,0,2,4,6,15.27272727,6.545454545,2.181818182,2.181818182,0,chris-wilcox-1,,70,1162,,,
8354,20300414,2422,1610612755,John,Salmons,23,2,6,0.333,0,1,0,0,0,0,0,3,3,2,2,1,1,4,A,L,2003,1610612746,0,0,0,0,4,2,0,0,23,0,-1,0,2,2,3,6.260869565,4.695652174,4.695652174,3.130434783,0,john-salmons-1,,124,3819,,,
8374,20300415,2399,1610612744,Mike,Dunleavy,31,6,9,0.667,3,4,0.75,3,4,0.75,2,4,4,1,0,0,0,18,H,W,2003,1610612758,0,0,0,0,6,5,0,0,31,0,5,0,1,3,6,20.90322581,6.967741935,4.64516129,0,0,mike-dunleavy-1,,111,3762,,,
8393,20300416,2417,1610612757,Qyntel,Woods,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,W,2003,1610612750,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,qyntel-woods-1,,,,,,
8410,20300417,2246,1610612765,Mehmet,Okur,18,2,10,0.2,0,1,0,2,2,1,3,3,0,0,0,1,0,6,A,W,2003,1610612737,0,0,0,0,2,0,0,0,18,0,-2,1,2,2,6,12,12,0,0,2,mehmet-okur-1,,,,,,
8411,20300417,2419,1610612765,Tayshaun,Prince,39,6,10,0.6,0,0,0,0,0,0,1,4,0,1,1,1,1,12,A,W,2003,1610612737,0,0,0,0,8,2,0,0,39,0,-2,1,2,2,5,11.07692308,4.615384615,0,0.923076923,0.923076923,tayshaun-prince-1,,135,4023,,,
8430,20300418,2406,1610612748,Caron,Butler,33,4,7,0.571,0,0,0,5,6,0.833,4,3,4,4,1,2,0,13,H,L,2003,1610612752,0,0,0,0,2,6,0,0,32,33,-7,1,4,2,7,14.18181818,7.636363636,4.363636364,1.090909091,1.090909091,caron-butler-1,,63,2173,,,
8431,20300418,2421,1610612752,Frank,Williams,28,5,8,0.625,2,4,0.5,2,2,1,0,2,4,3,2,3,0,14,A,W,2003,1610612748,0,0,0,0,4,0,0,0,28,23,21,0,5,0,2,18,2.571428571,5.142857143,2.571428571,0,frank-williams-1,,101,3201,,,
8432,20300418,2446,1610612748,Rasual,Butler,18,2,7,0.286,1,4,0.25,2,2,1,0,0,2,2,0,0,1,7,H,L,2003,1610612752,0,0,0,0,2,0,0,0,18,1,-4,0,2,0,0,14,0,4,0,0,rasual-butler-1,,110,4213,,,
8452,20300419,2410,1610612754,Fred,Jones,18,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2,H,L,2003,1610612751,0,0,0,0,2,2,0,0,18,0,-8,0,0,0,1,4,2,2,0,0,fred-jones-1,,125,3525,,,
8469,20300420,2407,1610612764,Jared,Jeffries,28,3,7,0.429,0,0,0,1,2,0.5,5,3,7,1,0,1,0,7,A,L,2003,1610612741,0,0,0,0,6,0,0,0,28,6,-1,0,0,4,8,9,10.28571429,9,0,0,jared-jeffries-1,,70,2282,,,
8470,20300420,2413,1610612764,Juan,Dixon,18,2,6,0.333,0,3,0,2,2,1,0,2,0,1,0,2,0,6,A,L,2003,1610612741,0,0,0,0,2,2,0,0,18,12,-16,1,0,0,2,12,4,0,0,2,juan-dixon-1,,141,4004,,,
8471,20300420,2423,1610612741,Chris,Jefferies,8,2,6,0.333,2,4,0.5,0,0,0,1,2,0,2,1,0,0,6,H,W,2003,1610612764,0,0,0,0,0,0,0,0,7,39,9,1,0,6,3,27,13.5,0,4.5,4.5,chris-jefferies-1,,88,2464,,,
8510,20300422,2436,1610612760,Ronald,Murray,24,3,11,0.273,0,3,0,2,3,0.667,1,3,3,2,2,2,0,8,H,L,2003,1610612750,0,0,0,0,4,0,0,0,24,0,-10,0,2,0,4,12,6,4.5,3,0,ronald-murray-1,,,,,,
8528,20300423,2060,1610612746,Marko,Jaric,29,2,11,0.182,1,5,0.2,1,1,1,0,2,7,1,0,0,1,6,H,L,2003,1610612761,0,0,0,0,2,0,0,0,29,0,-8,2,0,3,2,7.448275862,2.482758621,8.689655172,0,2.482758621,marko-jaric-1,,,,160,4395,4
8530,20300423,2404,1610612746,Chris,Wilcox,26,4,9,0.444,0,0,0,3,4,0.75,1,3,0,2,0,1,0,11,H,L,2003,1610612761,0,0,0,0,8,0,0,0,26,0,-3,1,2,2,4,15.23076923,5.538461538,0,0,1.384615385,chris-wilcox-1,,70,1162,,,
8531,20300423,2437,1610612761,Lonny,Baxter,9,1,2,0.5,0,0,0,0,0,0,1,1,0,1,2,0,0,2,A,W,2003,1610612746,0,0,0,0,2,0,0,0,9,0,-3,0,0,2,2,8,8,0,8,0,lonny-baxter-1,,138,3367,,,
8549,20300424,2417,1610612757,Qyntel,Woods,12,2,5,0.4,1,1,1,0,0,0,0,3,2,3,1,0,0,5,A,L,2003,1610612739,0,0,0,0,2,0,0,0,12,0,0,0,0,2,3,15,9,6,3,0,qyntel-woods-1,,,,,,
8550,20300424,2430,1610612739,Carlos,Boozer,38,5,13,0.385,0,0,0,0,0,0,2,11,0,1,0,2,0,10,H,W,2003,1610612757,0,0,0,0,6,2,0,1,38,0,14,1,0,2,13,9.473684211,12.31578947,0,0,0.947368421,carlos-boozer-1,,101,2615,,,
8562,20300425,1938,1610612759,Manu,Ginobili,33,10,16,0.625,1,2,0.5,4,7,0.571,4,5,3,3,3,2,0,25,H,W,2003,1610612749,0,0,0,0,14,5,0,0,33,0,17,0,3,8,9,27.27272727,9.818181818,3.272727273,3.272727273,0,manu-ginobili-1,,,,144,4341,4
8569,20300425,2429,1610612749,Dan,Gadzuric,9,1,2,0.5,0,0,0,1,2,0.5,3,2,1,0,1,1,0,3,A,L,2003,1610612759,0,0,0,0,2,0,0,0,9,0,-2,0,0,1,5,12,20,4,4,0,dan-gadzuric-1,,122,2940,,,
8570,20300425,2484,1610612759,Devin,Brown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,W,2003,1610612749,0,0,0,0,0,0,0,0,1,0,2,,0,0,0,0,0,0,0,0,devin-brown-1,,105,3360,,,
8587,20300426,2418,1610612756,Casey,Jacobsen,10,0,3,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,H,W,2003,1610612755,0,0,0,0,0,0,0,0,10,0,1,0,0,0,1,0,3.6,0,0,0,casey-jacobsen-1,,95,3021,,,
8588,20300426,2422,1610612755,John,Salmons,25,1,7,0.143,1,2,0.5,0,0,0,0,1,2,4,0,2,1,3,A,L,2003,1610612756,0,0,0,0,0,0,0,0,25,0,-3,0,0,3,1,4.32,1.44,2.88,0,0,john-salmons-1,,124,3819,,,
8609,20300427,2399,1610612744,Mike,Dunleavy,31,2,7,0.286,0,1,0,2,2,1,1,3,7,2,1,2,0,6,A,L,2003,1610612743,0,1,0,0,2,0,0,0,31,0,-7,0,0,0,4,6.967741935,4.64516129,8.129032258,1.161290323,0,mike-dunleavy-1,,111,3762,,,
8610,20300427,2401,1610612743,Nikoloz,Tskitishvili,9,2,4,0.5,0,0,0,3,4,0.75,1,2,1,1,1,0,2,7,H,W,2003,1610612744,0,0,0,0,2,0,0,0,9,0,2,1,0,2,3,28,12,4,4,4,nikoloz-tskitishvili-1,,,,17,176,1
8611,20300427,2403,1610612743,Nene,Hilario,23,5,13,0.385,0,0,0,1,2,0.5,0,7,3,2,0,0,0,11,H,W,2003,1610612744,0,0,0,0,10,0,0,0,23,0,19,0,0,0,7,17.2173913,10.95652174,4.695652174,0,0,nene-hilario-1,,,,,,
8650,20300429,2412,1610612738,Jiri,Welsch,28,4,11,0.364,1,2,0.5,0,0,0,0,4,3,4,0,1,0,9,A,L,2003,1610612747,0,0,0,0,6,0,0,0,28,0,-17,0,0,0,4,11.57142857,5.142857143,3.857142857,0,0,jiri-welsch-1,,,,35,876,2
8651,20300429,2416,1610612747,Kareem,Rush,9,2,4,0.5,0,1,0,1,1,1,1,0,1,0,0,1,0,5,H,W,2003,1610612738,0,0,0,0,4,0,0,0,9,0,1,0,2,2,1,20,4,4,0,0,kareem-rush-1,,84,2536,,,
8671,20300430,1921,1610612753,Gordan,Giricek,41,7,12,0.583,1,4,0.25,6,6,1,4,3,3,2,0,0,0,21,H,L,2003,1610612752,0,0,0,0,4,5,0,0,41,0,-24,0,0,4,7,18.43902439,6.146341463,2.634146341,0,0,gordan-giricek-1,,,,,,
8673,20300430,2400,1610612753,Drew,Gooden,35,7,17,0.412,0,0,0,3,5,0.6,4,5,1,3,0,3,0,17,H,L,2003,1610612752,0,0,0,0,10,0,0,0,35,0,-26,1,4,3,9,17.48571429,9.257142857,1.028571429,0,1.028571429,drew-gooden-1,,98,2567,,,
8674,20300430,2421,1610612752,Frank,Williams,22,7,9,0.778,4,6,0.667,0,0,0,1,1,5,3,2,2,1,18,A,W,2003,1610612753,0,0,0,0,6,2,0,0,22,0,18,0,2,5,2,29.45454545,3.272727273,8.181818182,3.272727273,0,frank-williams-1,,101,3201,,,
8675,20300430,2425,1610612753,Robert,Archibald,4,1,2,0.5,0,0,0,0,2,0,0,1,0,0,1,0,0,2,H,L,2003,1610612752,0,0,0,0,2,0,0,0,4,0,2,0,0,0,1,18,9,0,9,0,robert-archibald-1,,130,2106,,,
8696,20300431,2410,1610612754,Fred,Jones,21,2,4,0.5,0,0,0,5,7,0.714,1,1,1,3,0,2,0,9,H,W,2003,1610612763,0,0,0,0,4,4,0,0,21,0,0,1,4,0,2,15.42857143,3.428571429,1.714285714,0,1.714285714,fred-jones-1,,125,3525,,,
8714,20300432,2417,1610612757,Qyntel,Woods,22,6,9,0.667,0,0,0,0,0,0,2,5,2,4,0,2,2,12,A,W,2003,1610612751,0,0,0,0,6,2,0,0,22,0,7,0,0,2,7,19.63636364,11.45454545,3.272727273,0,0,qyntel-woods-1,,,,,,
8731,20300433,2246,1610612765,Mehmet,Okur,19,5,10,0.5,1,2,0.5,1,1,1,1,1,1,2,0,0,0,12,H,W,2003,1610612740,0,0,0,0,4,0,0,0,19,0,12,1,3,5,2,22.73684211,3.789473684,1.894736842,0,1.894736842,mehmet-okur-1,,,,,,
8732,20300433,2419,1610612765,Tayshaun,Prince,40,4,7,0.571,1,2,0.5,0,0,0,1,1,1,3,1,3,1,9,H,W,2003,1610612740,0,0,0,0,6,0,0,0,40,0,14,0,5,0,2,8.1,1.8,0.9,0.9,0,tayshaun-prince-1,,135,4023,,,
8749,20300434,2406,1610612748,Caron,Butler,24,1,9,0.111,0,0,0,0,0,0,2,1,2,2,1,2,1,2,A,W,2003,1610612741,0,0,0,0,0,0,0,0,24,10,4,1,0,0,3,3,4.5,3,1.5,1.5,caron-butler-1,,63,2173,,,
8750,20300434,2423,1610612741,Chris,Jefferies,4,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,H,L,2003,1610612748,0,0,0,0,0,0,0,0,3,40,-5,0,0,0,0,0,0,0,0,0,chris-jefferies-1,,88,2464,,,
8751,20300434,2446,1610612748,Rasual,Butler,23,4,5,0.8,3,4,0.75,0,0,0,0,4,0,2,0,0,0,11,A,W,2003,1610612741,0,0,0,0,0,0,0,0,23,15,3,0,3,2,4,17.2173913,6.260869565,0,0,0,rasual-butler-1,,110,4213,,,
8771,20300435,2397,1610612745,Ming,Yao,28,4,6,0.667,0,0,0,7,8,0.875,1,5,0,5,0,5,0,15,H,L,2003,1610612760,0,0,0,0,4,2,0,0,28,0,-2,0,2,4,6,19.28571429,7.714285714,0,0,0,ming-yao-1,,,,,,
8772,20300435,2411,1610612745,Bostjan,Nachbar,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,L,2003,1610612760,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,bostjan-nachbar-1,,,,98,1833,3
8773,20300435,2436,1610612760,Ronald,Murray,15,1,9,0.111,0,3,0,4,6,0.667,0,1,1,0,0,2,0,6,A,W,2003,1610612745,0,0,0,0,2,0,0,0,15,0,-6,1,0,0,1,14.4,2.4,2.4,0,2.4,ronald-murray-1,,,,,,
8792,20300436,2422,1610612755,John,Salmons,26,3,4,0.75,1,1,1,4,4,1,1,1,4,1,1,2,0,11,A,L,2003,1610612762,0,0,0,0,2,2,0,0,25,51,-3,0,4,2,2,15.23076923,2.769230769,5.538461538,1.384615385,0,john-salmons-1,,124,3819,,,
8805,20300437,2060,1610612746,Marko,Jaric,20,2,4,0.5,1,1,1,1,2,0.5,0,1,1,2,1,4,0,6,H,L,2003,1610612756,0,0,0,0,2,0,0,0,20,0,-14,0,0,0,1,10.8,1.8,1.8,1.8,0,marko-jaric-1,,,,160,4395,4
8809,20300437,2404,1610612746,Chris,Wilcox,21,3,6,0.5,0,0,0,3,5,0.6,3,5,1,2,0,0,1,9,H,L,2003,1610612756,0,0,0,0,6,0,0,0,21,0,-14,0,0,6,8,15.42857143,13.71428571,1.714285714,0,0,chris-wilcox-1,,70,1162,,,
8810,20300437,2418,1610612756,Casey,Jacobsen,10,1,2,0.5,0,0,0,0,1,0,1,2,2,2,0,1,0,2,A,W,2003,1610612746,0,0,0,0,2,2,0,0,10,0,3,0,2,0,3,7.2,10.8,7.2,0,0,casey-jacobsen-1,,95,3021,,,
8829,20300438,2399,1610612744,Mike,Dunleavy,27,3,8,0.375,1,5,0.2,4,6,0.667,1,6,1,1,2,1,0,11,H,L,2003,1610612738,0,0,0,0,4,2,0,0,27,0,-12,0,4,0,7,14.66666667,9.333333333,1.333333333,2.666666667,0,mike-dunleavy-1,,111,3762,,,
8830,20300438,2412,1610612738,Jiri,Welsch,32,6,14,0.429,3,5,0.6,0,2,0,2,6,3,5,1,2,0,15,A,W,2003,1610612744,0,0,0,0,6,4,0,0,32,0,-5,1,7,0,8,16.875,9,3.375,1.125,1.125,jiri-welsch-1,,,,35,876,2
8845,20300439,2407,1610612764,Jared,Jeffries,36,1,2,0.5,0,0,0,0,0,0,3,9,1,3,0,3,1,2,H,L,2003,1610612737,0,0,0,0,2,0,0,0,36,0,-11,0,0,2,12,2,12,1,0,0,jared-jeffries-1,,70,2282,,,
8846,20300439,2413,1610612764,Juan,Dixon,4,0,2,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,H,L,2003,1610612737,0,0,0,0,0,0,0,0,4,0,-3,0,0,0,1,0,9,0,0,0,juan-dixon-1,,141,4004,,,
8865,20300440,2410,1610612754,Fred,Jones,17,2,6,0.333,0,2,0,0,0,0,0,2,2,2,1,1,0,4,A,W,2003,1610612739,0,0,0,0,4,2,0,0,17,0,5,0,0,2,2,8.470588235,4.235294118,4.235294118,2.117647059,0,fred-jones-1,,125,3525,,,
8866,20300440,2430,1610612739,Carlos,Boozer,41,8,14,0.571,1,2,0.5,0,0,0,0,11,6,1,0,2,2,17,H,L,2003,1610612754,0,0,0,0,4,0,0,1,41,0,-4,0,0,0,11,14.92682927,9.658536585,5.268292683,0,0,carlos-boozer-1,,101,2615,,,
